company,industry,change,year,rank,rq
Apple,Tech,-5,2020,27,76.9
Netflix,Tech,-7,2020,17,78.4
3M Company,Industrial,NA,2020,12,78.9
General Electric,Industrial,-17,2020,26,77
The Kroger Company,Groceries,-12,2020,9,79.4
Costco,Retail,-11,2020,7,80.3
LG Corporation,Tech,NA,2020,NA,77.4
Chick-fil-A,Food & Beverage,-11,2020,11,79.2
Adidas,Retail,NA,2020,NA,78.8
Walgreens,Retail,-2,2020,38,75.6
Google,Tech,-17,2020,24,77.2
Target,Retail,-21,2020,51,74.2
UnitedHealth Group,Healthcare,NA,2020,NA,74.7
Lowe's,Retail,9,2020,29,76.5
Unilever,Consumer Goods,10,2020,35,75.9
CVS (CVS Health),Retail,-11,2020,37,75.6
Procter & Gamble Co.,Consumer Goods,0,2020,8,79.9
Dell,Tech,NA,2020,NA,73.5
FedEx Corporation,Logistics,NA,2020,20,77.7
The Kraft Heinz Company,Food & Beverage,NA,2020,NA,77.3
Ford Motor Company,Automotive,5,2020,63,72.4
Nestle,Consumer Goods,8,2020,36,75.9
Starbucks Corporation,Food & Beverage,-4,2020,55,73.5
Pfizer,Pharma,NA,2020,61,73
Stellantis,Automotive,NA,2020,NA,NA
American Express,Financial Services,NA,2020,NA,74.4
PepsiCo,Consumer Goods,-36,2020,14,78.7
JPMorgan Chase & Co.,Financial Services,10,2020,62,72.7
Hobby Lobby,Retail,NA,2020,NA,70.2
Best Buy,Retail,13,2020,47,74.6
General Motors,Automotive,-16,2020,54,73.8
T-Mobile,Telecom,NA,2020,NA,70.1
Yum! Brands,Food & Beverage,-19,2020,49,74.4
Nordstrom,Retail,19,2020,65,72
State Farm Insurance,Financial Services,-21,2020,45,74.6
Nike,Retail,21,2020,56,73.4
Progressive Corporation,Insurance,NA,2020,NA,74
The Coca-Cola Company,Food & Beverage,10,2020,41,75.2
Spotify,Media,NA,2020,NA,71.9
Citigroup,Financial Services,-15,2020,60,73.1
Kohl's,Retail,1,2020,39,75.4
Royal Dutch Shell,Energy,NA,2020,NA,77.6
Macy's,Retail,-11,2020,58,73.1
Wendy's,Food & Beverage,NA,2020,50,74.3
The Walt Disney Company,Media,18,2020,23,77.4
Delta Air Lines,Airline,NA,2020,NA,NA
Verizon Communications,Telecom,-12,2020,52,73.9
DoorDash,Food Delivery,21,2020,78,69.1
"Electronic Arts, Inc.",Tech,NA,2020,NA,75.3
Chipotle,Food & Beverage,-11,2020,70,71.2
AT&T,Telecom,2,2020,76,69.3
Johnson & Johnson,Pharma,35,2020,68,71.4
Robinhood,Tech,NA,2020,NA,NA
Dollar Tree,Retail,NA,2020,NA,69.6
Grubhub Inc.,Food Delivery,NA,2020,NA,72.3
Big Lots,Retail,NA,2020,NA,NA
Walmart,Retail,6,2020,85,68.1
Shein,Retail,NA,2020,NA,NA
Bank of America,Financial Services,-5,2020,87,67.8
Goldman Sachs,Financial Services,NA,2020,NA,73.8
Burger King,Food & Beverage,NA,2020,82,68.4
Spectrum,Telecom,NA,2020,NA,63.5
eBay,Ecommerce,21,2020,78,69.1
Subway,Food & Beverage,NA,2020,NA,69.4
Comcast,Media,2,2020,93,63.3
McDonald's,Food & Beverage,-16,2020,72,70.8
JCPenney,Retail,9,2020,92,63.5
ExxonMobil,Energy,-4,2020,73,70.6
BP,Energy,7,2020,91,65.6
My Pillow,Ecommerce,NA,2020,NA,NA
Uber,Tech,2,2020,80,68.7
Wells Fargo & Company,Financial Services,0,2020,96,61.2
Sears Holdings Corporation,Retail,NA,2020,NA,63.7
TikTok,Tech,NA,2020,NA,66.5
Spirit Airlines,Airline,NA,2020,NA,62.8
Fox Corporation,Media,NA,2020,94,63.1
Facebook,Tech,3,2020,97,60.8
Twitter,Tech,6,2020,95,62.1
Wish.com,Ecommerce,NA,2020,NA,NA
The Trump Organization,Other,1,2020,99,54.5
Trader Joe's,Retail,NA,2021,NA,NA
HEB Grocery,Retail,NA,2021,NA,NA
Patagonia,Retail,-31,2021,1,82.7
The Hershey Company,Food & Beverage,NA,2021,NA,NA
Wegmans,Groceries,7,2021,13,79.2
Samsung,Tech,9,2021,31,77.5
Amazon.com,Ecommerce,7,2021,10,80
Toyota Motor Corporation,Automotive,3,2021,18,78.7
Honda Motor Company,Automotive,-14,2021,2,81.6
Sony,Tech,NA,2021,34,77.3
IBM,Tech,6,2021,39,76.3
Tesla Motors,Automotive,-10,2021,8,80.2
Blue Cross Blue Shield Association,Healthcare,NA,2021,NA,NA
Berkshire Hathaway,Other,-13,2021,27,78
Microsoft,Tech,17,2021,36,76.8
The Home Depot,Retail,-1,2021,45,75.4
UPS,Logistics,9,2021,19,78.6
USAA,Financial Services,-9,2021,12,79.2
Publix Supermarkets,Groceries,19,2021,23,78.2
Subaru,Automotive,NA,2021,14,79.2
Apple,Tech,-11,2021,16,79.1
Netflix,Tech,21,2021,38,76.4
3M Company,Industrial,13,2021,25,78.1
General Electric,Industrial,14,2021,40,76.1
The Kroger Company,Groceries,21,2021,30,77.5
Costco,Retail,2,2021,9,80.1
LG Corporation,Tech,NA,2021,NA,NA
Chick-fil-A,Food & Beverage,-7,2021,4,81.1
Adidas,Retail,NA,2021,49,75.1
Walgreens,Retail,8,2021,46,75.3
Google,Tech,36,2021,60,73.3
Target,Retail,-10,2021,41,76
UnitedHealth Group,Healthcare,NA,2021,NA,NA
Lowe's,Retail,-7,2021,22,78.3
Unilever,Consumer Goods,-20,2021,15,79.2
CVS (CVS Health),Retail,-13,2021,24,78.2
Procter & Gamble Co.,Consumer Goods,27,2021,35,77
Dell,Tech,NA,2021,NA,NA
FedEx Corporation,Logistics,13,2021,33,77.4
The Kraft Heinz Company,Food & Beverage,NA,2021,NA,NA
Ford Motor Company,Automotive,-13,2021,50,75.1
Nestle,Consumer Goods,-7,2021,29,77.7
Starbucks Corporation,Food & Beverage,10,2021,65,72.3
Pfizer,Pharma,-54,2021,7,80.2
Stellantis,Automotive,NA,2021,NA,NA
American Express,Financial Services,NA,2021,44,75.6
PepsiCo,Consumer Goods,6,2021,20,78.5
JPMorgan Chase & Co.,Financial Services,-8,2021,54,74.5
Hobby Lobby,Retail,NA,2021,53,74.5
Best Buy,Retail,1,2021,48,75.2
General Motors,Automotive,14,2021,68,72
T-Mobile,Telecom,NA,2021,NA,74.3
Yum! Brands,Food & Beverage,21,2021,70,71.5
Nordstrom,Retail,-2,2021,63,72.8
State Farm Insurance,Financial Services,7,2021,52,74.7
Nike,Retail,6,2021,62,72.8
Progressive Corporation,Insurance,NA,2021,NA,NA
The Coca-Cola Company,Food & Beverage,17,2021,58,73.7
Spotify,Media,NA,2021,NA,NA
Citigroup,Financial Services,-17,2021,43,75.7
Kohl's,Retail,16,2021,55,74.4
Royal Dutch Shell,Energy,NA,2021,69,71.6
Macy's,Retail,6,2021,64,72.3
Wendy's,Food & Beverage,17,2021,67,72.1
The Walt Disney Company,Media,14,2021,37,76.7
Delta Air Lines,Airline,NA,2021,NA,70.4
Verizon Communications,Telecom,9,2021,61,73.2
DoorDash,Food Delivery,-12,2021,66,72.1
"Electronic Arts, Inc.",Tech,NA,2021,51,74.7
Chipotle,Food & Beverage,6,2021,76,70.8
AT&T,Telecom,10,2021,86,67.6
Johnson & Johnson,Pharma,4,2021,72,71.4
Robinhood,Tech,NA,2021,79,70.4
Dollar Tree,Retail,NA,2021,74,71.1
Grubhub Inc.,Food Delivery,NA,2021,NA,NA
Big Lots,Retail,NA,2021,NA,NA
Walmart,Retail,-2,2021,83,69.7
Shein,Retail,NA,2021,NA,NA
Bank of America,Financial Services,-10,2021,77,70.5
Goldman Sachs,Financial Services,NA,2021,NA,63.8
Burger King,Food & Beverage,2,2021,84,69.4
Spectrum,Telecom,NA,2021,11,79.9
eBay,Ecommerce,-12,2021,66,72.1
Subway,Food & Beverage,NA,2021,NA,NA
Comcast,Media,-1,2021,92,65.8
McDonald's,Food & Beverage,1,2021,73,71.1
JCPenney,Retail,-3,2021,89,66.3
ExxonMobil,Energy,7,2021,80,70.4
BP,Energy,-6,2021,85,68.2
My Pillow,Ecommerce,NA,2021,91,66
Uber,Tech,10,2021,90,66.2
Wells Fargo & Company,Financial Services,-1,2021,95,63
Sears Holdings Corporation,Retail,NA,2021,96,61.2
